property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,price_standard_scaled,price_per_sqft_standard_scaled,super_area_standard_scaled
30,"2 BHK Flat  for Sale in Devanahalli, Bangalore",13300000.0,10988.0,2.0,1217.0,1.0,New Property,Unfurnished,2.0,apartment,13.24032816,77.71506051,Devanahalli,-0.18646480454223024,-0.23140599041325172,1.015215233822327,0.4365,-0.08584053712877904,-0.026338759965633663,-0.42775482730586634
31,2 BHK Apartment for Sale in RR Nagar Bangalore,11100000.000000002,9612.0,2.0,1155.0,7.0,New Property,Unfurnished,2.0,apartment,12.915409,77.515634,BEML Layout 3rd Stage,-0.21171443383846136,-0.19735210983919807,-0.9679290544956332,0.6208,-0.09590786848011676,-0.03515416824117091,-0.4600108996594172
32,2 BHK Apartment for Sale in Sarjapur Road Bangalore,11200000.000000002,9211.0,2.0,1216.0,1.0,New Property,Unfurnished,2.0,apartment,12.86025078038358,77.7650823463086,Sree Narayana Nagar,-0.19309233984502414,-0.19326922042381414,1.015215233822327,0.4353,-0.09545026250960141,-0.037723193472631984,-0.4282750865373752
33,2 BHK Apartment for Sale in Yelahanka Bangalore,14200000.0,9605.0,2.0,1486.0,1.0,New Property,Unfurnished,2.0,apartment,12.865111,77.530619,Bda Approved Layout,-0.19976911389449556,-0.1853021223431867,-1.1121377149284128,0.6302,-0.08172208339414087,-0.035199014068154025,-0.2878050940299761
34,2 BHK Apartment for Sale in Krishnarajapura Bangalore,8590000.0,7150.0,2.0,1201.0,1.0,New Property,Unfurnished,2.0,apartment,13.00643164,77.72601115,Kodigehalli,-0.2027234386951466,-0.20962064616036383,-0.814363343576757,0.6079,-0.10739377834005212,-0.05092708624580224,-0.4360789750100085
35,2 BHK Apartment for Sale in Bannerghatta Main Road Bangalore,25200000.0,15971.0,2.0,1265.0,1.0,New Property,Unfurnished,2.0,apartment,12.87052719,77.59332459,Kalena Agrahara,-0.2081790918270156,-0.19864353471511026,-0.8149137583112332,0.6079,-0.03138542663745215,0.005585062299629503,-0.4027823841934398
36,2 BHK Apartment for Sale in Sarjapur Road Bangalore,11200000.000000002,9554.0,2.0,1175.0,1.0,New Property,Unfurnished,2.0,apartment,21.035438999287667,79.03085345311747,"MIHAN, Nagpur",0.8442892706555919,0.8083797814086916,1.015215233822327,0.2883,-0.09545026250960141,-0.03552574795045955,-0.4496057150292395
37,2 BHK Apartment for Sale in Sarjapur Road Bangalore,9260000.0,8000.0,2.0,1158.0,1.0,New Property,Unfurnished,3.0,apartment,12.87075018,77.77260098,Bengaluru,-0.194126353525252,-0.1943122943620509,1.015215233822327,0.4354,-0.10432781833759926,-0.04548152154071019,-0.45845012196489054
38,2 BHK Apartment for Sale in Whitefield Bangalore,13500000.0,11351.0,2.0,1197.0,1.0,New Property,Unfurnished,2.0,apartment,12.962689313479418,77.73467167683721,Palm Meadows,-0.20287115493517918,-0.20583577787019042,-1.0433358731188804,0.6263,-0.08492532518774834,-0.02401318350922376,-0.43816001193604404
39,2 BHK Apartment for Sale in Yelahanka Bangalore,7959999.999999999,6300.0,2.0,1264.0,1.0,New Property,Unfurnished,2.0,apartment,13.11191016,77.57010075,Ramanashree California Gardens Layout,-0.20233937647106198,-0.2183427310915246,1.015215233822327,0.4374,-0.11027669595429884,-0.05637265095089429,-0.4033026434249487
40,2 BHK Apartment for Sale in Sarjapura Bangalore,7280000.0,5824.0,2.0,1250.0,1.0,New Property,Furnished,2.0,apartment,12.835015042801714,77.78238598801194,Billapura,-0.18199392634391165,-0.18993138382145652,1.015215233822327,0.434,-0.11338841655380323,-0.05942216718574584,-0.4105862726660731
41,2 BHK Apartment for Sale in Sarjapur Road Bangalore,12400000.0,10081.0,2.0,1230.0,1.0,New Property,Unfurnished,2.0,house,12.88109827,77.71349549,Kodathi,-0.19945398591575944,-0.18641473454397256,1.015215233822327,0.4356,-0.0899589908634172,-0.032149497833302475,-0.4209914572962508
42,2 BHK Apartment for Sale in Electronic City Bangalore,8690000.0,6687.0,2.0,1300.0,1.0,New Property,Unfurnished,2.0,apartment,12.8339509,77.675366,Veer Sandra,-0.20030089235861276,-0.19180891691028268,-1.1137889591318417,0.6307,-0.10693617236953677,-0.05389331737339944,-0.3845733110906288
43,2 BHK Apartment for Sale in Sarjapur Road Bangalore,15700000.0,12362.0,2.0,1270.0,1.0,New Property,Unfurnished,2.0,apartment,12.891293073785318,77.70453405283318,Chikkakannalli,-0.2007046500813684,-0.1876862913448707,1.015215233822327,0.4357,-0.07485799383641059,-0.01753616478352016,-0.40018108803589536
44,2 BHK Apartment for Sale in Electronic City Bangalore,6900000.0,5126.0,2.0,1346.0,1.0,New Property,Unfurnished,2.0,apartment,12.8339509,77.675366,Veer Sandra,-0.20030089235861276,-0.19180891691028268,-1.1137889591318417,0.6307,-0.11512731924176156,-0.0638939367906332,-0.36064138644122007
45,2 BHK Apartment for Sale in Whitefield-Hoskote Road Bangalore,10700000.0,8300.0,2.0,721.0,5.0,New Property,Unfurnished,2.0,apartment,13.0282951,77.7609415,Ardendale,-0.19612544664035925,-0.21451812665132314,-0.9519670271958215,0.6188,-0.0977382923621782,-0.04355955752714829,-0.6858034061342736
46,2 BHK Apartment for Sale in Gunjur Bangalore,13200000.0,10418.0,2.0,1270.0,1.0,New Property,Unfurnished,2.0,apartment,12.91821688,77.7253209,Gunjur Palya,-0.19948352916376594,-0.20104757179180832,1.015215233822327,0.4363,-0.08629814309929439,-0.029990491591401273,-0.40018108803589536
47,2 BHK Apartment for Sale in Soukya Road Bangalore,9100000.0,9228.0,2.0,986.0,1.0,New Property,Unfurnished,2.0,apartment,12.99388554,77.80352945,Koralur,-0.19363396605847685,-0.19323941831129313,1.015215233822327,0.4353,-0.10505998789042383,-0.03761428217853014,-0.5479347097844189
48,2 BHK Apartment for Sale in Mysore Road Bangalore,11000000.0,10793.0,2.0,1020.0,1.0,New Property,Unfurnished,2.0,apartment,12.87546337065702,77.44965569885767,Bengaluru,-0.20315673966590878,-0.1827788768164044,-0.9833406670609683,0.6205,-0.09636547445063214,-0.027588036574448898,-0.5302458959131168
49,2 BHK Apartment for Sale in Gunjur Bangalore,11700000.0,8499.0,2.0,1380.0,1.0,New Property,Unfurnished,2.0,apartment,12.91821688,77.7253209,Gunjur Palya,-0.19948352916376594,-0.20104757179180832,1.015215233822327,0.4363,-0.09316223265702467,-0.042284654731485564,-0.34295257256991796
50,2 BHK Apartment for Sale in Yelahanka New Town Bangalore,13600000.000000002,10320.0,2.0,859.0,3.0,New Property,Unfurnished,2.0,apartment,13.09982885,77.58107977,Yelahanka Satellite Town,-0.20450588132487277,-0.2205282193430683,1.015215233822327,0.4377,-0.08446771921723296,-0.030618333169164826,-0.6140076321860474
51,"2 BHK Apartment for Sale in Doddakallasandra, Konanakunte Bangalore",11399999.999999998,11172.0,2.0,735.0,4.0,New Property,Unfurnished,2.0,apartment,12.88687,77.55137,Doddakallasandra,-0.21005016420076125,-0.19900116006536286,-0.9629753218853468,0.6203,-0.09453505056857074,-0.02515995537064903,-0.6785197768931491
52,"2 BHK Apartment for Sale in Chikkajala, Bangalore-Hyderabad Hwy Bangalore",17700000.0,12275.0,2.0,940.0,5.0,New Property,Unfurnished,2.0,apartment,13.16843602,77.63515109,Huttanahalli,-0.19859723172357063,-0.2315152648258289,1.015215233822327,0.4377,-0.06570587442610355,-0.01809353434745311,-0.5718666344338277
53,2 BHK Apartment for Sale in Sarjapur Road Bangalore,12100000.0,9473.0,2.0,1283.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.09133180877496326,-0.03604467823412126,-0.39341771802627984
54,2 BHK Apartment for Sale in Sarjapur Road Bangalore,11299999.999999998,9244.0,2.0,1225.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.09499265653908609,-0.037511777431140175,-0.4235927534537952
55,2 BHK Apartment for Sale in Panathur Bangalore,8059999.999999999,6250.0,2.0,1000.0,5.0,New Property,Unfurnished,2.0,apartment,12.93555355,77.70595213,Kadubeesanahalli,-0.2020242484923259,-0.19680573777631213,1.015215233822327,0.4363,-0.10981908998378348,-0.05669297828648794,-0.5406510805432945
56,2 BHK Apartment for Sale in Sarjapur Road Bangalore,16299999.999999998,12000.0,2.0,1360.0,1.0,New Property,Unfurnished,2.0,apartment,12.900521,77.710237,Carmelaram,-0.20262496120179158,-0.189623428658739,1.015215233822327,0.436,-0.07211235801331849,-0.019855334693218183,-0.35335775720009566
57,2 BHK Apartment for Sale in Gunjur Bangalore,13200000.0,10000.0,2.0,839.0,1.0,New Property,Furnished,2.0,apartment,12.94162601,77.74251723,Patel Layout,-0.20028119685994175,-0.2046933635568835,1.015215233822327,0.4365,-0.08629814309929439,-0.03266842811696419,-0.6244128168162251
58,2 BHK Apartment for Sale in Varthur Road Bangalore,8220000.0,4566.0,2.0,1800.0,2.0,New Property,Unfurnished,2.0,apartment,12.95577568,77.71436343,Silver Springs Layout,-0.20584517523450127,-0.19849452415250501,-0.8677535728209541,0.6121,-0.10908692043095893,-0.06748160294928207,-0.124443695336186
59,2 BHK Apartment for Sale in Hennur Main Road Bangalore,19200000.0,13417.0,2.0,1431.0,24.0,New Property,Unfurnished,2.0,apartment,13.0231661,77.6309661,HBR Layout 2nd Block,-0.21265981777466972,-0.21209422149961105,1.015215233822327,0.4381,-0.05884178486837327,-0.010777258002494142,-0.3164193517629648
60,2 BHK Apartment for Sale in Sarjapur Road Bangalore,10400000.0,9463.0,2.0,1099.0,5.0,New Property,Semi,2.0,apartment,21.035438999287667,79.03085345311747,"MIHAN, Nagpur",0.8442892706555919,0.8083797814086916,1.015215233822327,0.2883,-0.09911111027372424,-0.03610874370123999,-0.4891454166239148
61,2 BHK Apartment for Sale in Phase 2nd Judicial Layout Bangalore,9000000.0,10000.0,2.0,900.0,6.0,Resale,Semi,2.0,apartment,12.86366796,77.54064377,Judicial Layout 2nd Phase,-0.19950322466243697,-0.1850339033304972,-1.0879194666114576,0.6283,-0.10551759386093917,-0.03266842811696419,-0.5926770036941831
62,2 BHK Apartment for Sale in Phase 2 Electronic City Bangalore,8000000.0,7112.0,2.0,1125.0,4.0,New Property,Unfurnished,2.0,apartment,12.84681621,77.68222508,Phase II,-0.20082282307339444,-0.19233542089815456,-1.0092101595813525,0.6227,-0.1100936535660927,-0.05117053502085341,-0.47561867660468377
63,2 BHK Apartment for Sale in Sarjapur Road Bangalore,12200000.0,10000.0,2.0,1229.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.09087420280444791,-0.03266842811696419,-0.4215117165277597
64,2 BHK Apartment for Sale in Sadahalli Bangalore,9310000.0,7776.0,2.0,718.0,9.0,New Property,Unfurnished,2.0,apartment,13.24032816,77.71506051,Devanahalli,-0.18646480454223024,-0.23140599041325172,1.015215233822327,0.4365,-0.10409901535234159,-0.04691658800416974,-0.6873641838288003
65,2 BHK Apartment for Sale in Ambalipura Haralur Bangalore,18900000.0,15789.0,2.0,950.0,14.0,Resale,Semi,2.0,apartment,12.903428514109851,77.66190007338585,Eastwood Township,-0.20553004725576515,-0.19255396972330893,-0.9596728334784892,0.6193,-0.06021460277991932,0.004419070798068616,-0.5666640421187388
66,"2 BHK Apartment for Sale in Hadosiddapura, Chikkakannalli Bangalore",10500000.0,10638.0,2.0,690.0,10.0,Resale,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.09865350430320889,-0.028581051314789212,-0.701931442311049
67,2 BHK Apartment for Sale in Kada Agrahara Bangalore,8710000.0,7900.0,2.0,1102.0,1.0,New Property,Unfurnished,2.0,apartment,12.85711651,77.76588799,Sree Narayana Nagar,-0.19335822907708275,-0.19353743943650362,1.015215233822327,0.4353,-0.1068446511754337,-0.046122176211897487,-0.48758463892938814
68,2 BHK Apartment for Sale in Phase 8th JP Nagar Bangalore,11299999.999999998,8360.0,2.0,1360.0,2.0,New Property,Unfurnished,2.0,apartment,12.90369008,77.58574868,JP Nagar 6th Phase,-0.21274844751868924,-0.2024582051178047,-1.0681045361703123,0.629,-0.09499265653908609,-0.04317516472443591,-0.35335775720009566
69,6 BHK Apartment for Sale in Whitefield Bangalore,95000000.0,11875.0,6.0,8050.0,30.0,New Property,Unfurnished,5.0,apartment,12.9680475,77.739097,Palm Meadows,-0.20176820700960277,-0.20705766448355348,-1.0565458267463108,0.6272,0.28802354078226355,-0.02065615303220231,3.127176501594349
70,2 BHK Apartment for Sale in Jakkur Bangalore,7009999.999999999,5700.0,2.0,860.0,0.0,New Property,Unfurnished,2.0,apartment,13.06410398,77.62058066,Royal Enclave,-0.20836619906439016,-0.21910765197956492,1.015215233822327,0.4381,-0.11462395267419467,-0.06021657897801809,-0.6134873729545385
71,2 BHK Apartment for Sale in Sarjapura Bangalore,14800000.0,13040.0,2.0,758.0,12.0,Resale,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,-0.07897644757104876,-0.013192526112870263,-0.6665538145684448
72,6 BHK Penthouse for Sale in Mission Road Bangalore,300000000.0,31844.0,6.0,9421.0,22.0,New Property,Unfurnished,8.0,penthouse,12.96232367,77.59298389,Bengaluru,-0.21838136013859727,-0.208537836072099,-1.022970527943259,0.6264,1.2261157803387353,0.10727617825718966,3.8404519079930313
73,2 BHK Apartment for Sale in Aduru Anekal Bangalore,16000000.0,11955.0,2.0,1240.0,14.0,New Property,Unfurnished,2.0,apartment,12.73816125,77.65279455,Aduru,-0.17699126968147583,-0.1623346276269638,1.015215233822327,0.4321,-0.07348517592486453,-0.020143629295252468,-0.41578886498116197
74,2 BHK Apartment for Sale in Bommasandra Industrial Area Bangalore,5390000.0,5500.0,2.0,980.0,2.0,New Property,Unfurnished,2.0,apartment,12.80542192,77.69054698,Electronic City,-0.1959678826509912,-0.18743794040719527,-1.0081093301124,0.6219,-0.12203716939654338,-0.06149788832039269,-0.5510562651734722
75,2 BHK Builder Floor for Sale in Whitefield Bangalore,7550000.0,6415.0,2.0,1177.0,0.0,Resale,Furnished,2.0,apartment,12.9680475,77.739097,Palm Meadows,-0.20176820700960277,-0.20705766448355348,-1.0565458267463108,0.6272,-0.11215288043341178,-0.0556358980790289,-0.44856519656622174
76,2 BHK Apartment for Sale in Kasavanahalli Bangalore,7359999.999999999,6700.0,2.0,1098.0,1.0,New Property,Unfurnished,2.0,apartment,12.9062004,77.6754251,IAS Layout,-0.2054611130104166,-0.19247449742325282,1.015215233822327,0.4365,-0.11302233177739095,-0.05381003226614509,-0.4896656758554237
