property_id,title,price,price_per_sqft,bhk_count,super_area,floor,bathroom_count,property_type,latitude,longitude,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,transaction_Resale,furnishing_status_Semi,furnishing_status_Unfurnished,locality_frequency,locality_Amrita Nagar,locality_Ardendale,locality_Attibele,locality_BEML Layout 3rd Stage,locality_BSF Campus,locality_Balagere,locality_Bengaluru,locality_Budigere Cross,locality_Carmelaram,locality_D Nagaraj Layout,locality_Dasanayakanahalli,locality_Devanahalli,locality_Devin Paradise Enclave,locality_Eastwood Township,locality_Electronic City Phase I,locality_Fathima Layout,locality_Govindaraja Nagar Ward,locality_Gundappa Reddy Layout,locality_Gunjur Village,locality_HBR Layout 2nd Block,locality_Halasuru,locality_Infosys Head Quater,locality_Ittamadu,locality_JP Nagar 6th Phase,locality_Jawahar Nagar,locality_Kadubeesanahalli,locality_Kaikondrahalli,locality_Kalena Agrahara,locality_Kanakapura,locality_Kaveri Nagar,locality_Kodigehalli,locality_Koralur,locality_Koramangala 3 Block,locality_Manyata Residency,locality_Maruthi Layout,locality_Narayanapura,locality_Other,locality_Palm Meadows,locality_Parangi Palaya,locality_Patel Layout,locality_Phase III,locality_Pragathi Nagar,locality_Prakash Nagar,locality_Prakruthi Nagar,locality_Royal Enclave,locality_Saint Thomas Town,locality_Shivananada Layout,locality_Veer Sandra,locality_Vinayaka Nagar,locality_Yeshwanthpur Industrial Area
2596,4 BHK  House for Sale in Vijayanagara Bangalore,24000000.0,26667.0,4.0,800.0,0.0,2.0,house,13.026841163635254,77.60846710205078,-0.21316205299078042,-0.21496515833913887,1.015215233822327,0.4383,1.0,1.0,0.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2597,5 BHK Villa for Sale in Sarjapur Road Bangalore,16500000.0,5500.0,5.0,2616.0,1.0,3.0,villa,12.88449927,77.77648661,-0.19447102475199463,-0.1946599856747965,1.015215233822327,0.4355,1.0,0.0,1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2598,4 BHK Villa for Sale in Sarjapur Road Bangalore,16600000.0,5443.0,4.0,1500.0,1.0,4.0,villa,12.91235,77.680996,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,1.0,1.0,0.0,174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2599,4 BHK Villa for Sale in Sarjapur Road Bangalore,38000000.0,12667.0,4.0,3000.0,1.0,4.0,villa,12.874714,77.765863,-0.19586940515763615,-0.1960706190007929,1.015215233822327,0.4357,1.0,0.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2600,4 BHK Villa for Sale in Sarjapur Road Bangalore,19000000.0,6786.0,4.0,2200.0,1.0,3.0,villa,12.881871223449709,77.78357696533203,-0.19387031204252894,-0.1940540093868685,1.015215233822327,0.4354,1.0,1.0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2601,4 BHK  House for Sale in Thambu Chetty Palya Bangalore,7500000.0,12500.0,4.0,1100.0,1.0,2.0,house,13.029804229736328,77.70323181152344,-0.1996312454037985,-0.21072332432364269,-0.5518155152315816,0.5842,1.0,0.0,1.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2602,4 BHK  House for Sale in Defence Layout Vidyaranyapura Bangalore,33500000.0,8375.0,4.0,3600.0,1.0,6.0,house,13.02026653289795,77.60848999023438,-0.21323098723612893,-0.21444858838877404,1.015215233822327,0.4383,1.0,1.0,0.0,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2603,"4 BHK Flat  for Sale in Hadosiddapura, Chikkakannalli, Bangalore",29500000.0,14944.0,4.0,1346.0,22.0,4.0,house,12.91235,77.680996,-0.20602243472254034,-0.19305067159865977,1.015215233822327,0.4365,1.0,0.0,1.0,174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2604,"4 BHK Flat  for Sale in Vijayanagara, Bangalore",45000000.0,20390.0,4.0,2207.0,6.0,4.0,apartment,12.9680475,77.739097,-0.20176820700960277,-0.20705766448355348,-1.0565458267463108,0.6272,1.0,0.0,1.0,193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2605,4 BHK  House for Sale in Stage 3rd Banashankari Bangalore,25000000.0,7143.0,4.0,3000.0,0.0,3.0,house,12.963369369506836,77.54843139648438,-0.2187260313653399,-0.20744509194632715,-0.9409587325062964,0.6198,1.0,0.0,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
