property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
2991,3 BHK Apartment for Sale in Soukya Road Bangalore,13000000.0,9745.0,3.0,1334.0,1.0,New Property,Unfurnished,3.0,apartment,12.99388554,77.80352945,Koralur,29.75,52.3,40.0,0.4168
2992,3 BHK Apartment for Sale in Gunjur Bangalore,14300000.0,8499.0,3.0,1685.0,1.0,New Property,Unfurnished,3.0,apartment,12.91821688,77.7253209,Gunjur Palya,23.81,44.44,40.0,0.4205
2993,3 BHK Apartment for Sale in Kogilu Bangalore,15500000.0,7186.0,3.0,2157.0,1.0,New Property,Unfurnished,3.0,apartment,13.0992238,77.609323,Prakruthi Nagar,17.98,21.33,40.0,0.43
2994,3 BHK Apartment for Sale in J P Nagar Bangalore,56300000.0,16958.0,3.0,3320.0,1.0,New Property,Unfurnished,3.0,apartment,12.90369008,77.58574868,JP Nagar 6th Phase,10.34,43.02,2.15,0.1668
2995,3 BHK Apartment for Sale in Whitefield Bangalore,51000000.0,18525.0,3.0,2553.0,5.0,New Property,Unfurnished,3.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
2996,3 BHK Apartment for Sale in Sarjapur Road Bangalore,16399999.999999998,10745.0,3.0,1528.0,1.0,New Property,Unfurnished,3.0,apartment,12.90585216,77.70533942,Carmelaram,20.64,51.49,40.0,0.4223
2997,3 BHK Apartment for Sale in Electronic City Bangalore,9680000.0,6628.0,3.0,1460.0,1.0,New Property,Unfurnished,2.0,apartment,12.8339509,77.675366,Veer Sandra,22.98,53.74,1.32,0.1927
2998,3 BHK Apartment for Sale in Rajajinagar Bangalore,35000000.0,20588.0,3.0,1400.0,12.0,Resale,Semi,3.0,apartment,12.994704,77.5514405,2nd Block,3.73,36.09,0.95,0.2951
2999,3 BHK Apartment for Sale in Phase 9th JP Nagar Bangalore,15000000.0,8726.0,3.0,1719.0,1.0,New Property,Unfurnished,3.0,apartment,12.869186,77.5624215,Royal Park residency Layout 1,14.7,48.12,3.72,0.1143
3000,3 BHK Apartment for Sale in Sarjapur Road Bangalore,20099999.999999996,12000.0,3.0,1680.0,1.0,New Property,Unfurnished,3.0,apartment,12.900521,77.710237,Carmelaram,20.62,55.94,40.0,0.422
3001,"3 BHK Apartment for Sale in Hosa Road, off Hosur Road Bangalore",18700000.0,12198.0,3.0,1533.0,1.0,New Property,Unfurnished,3.0,apartment,12.877316,77.6381045,AECS C Block,16.77,47.53,1.73,0.1732
3002,3 BHK Apartment for Sale in Bannerghatta Main Road Bangalore,31500000.0,14318.0,3.0,1800.0,3.0,Resale,Unfurnished,3.0,apartment,12.86471203,77.5911192,Anthappa Layout,15.73,47.61,40.0,0.428
3003,3 BHK Apartment for Sale in Magadi Main Road Bangalore,15000000.0,8333.0,3.0,1800.0,1.0,New Property,Unfurnished,3.0,apartment,12.97245574,77.53202141,Govindaraja Nagar Ward,6.62,40.18,3.02,0.1569
3004,3 BHK Apartment for Sale in Bommasandra Bangalore,11600000.0,8140.0,3.0,1425.0,1.0,New Property,Unfurnished,2.0,apartment,12.80542192,77.69054698,Electronic City,27.38,58.14,3.24,0.1118
3005,3 BHK Builder Floor for Sale in Yelahanka New Town Bangalore,14300000.0,9250.0,3.0,1550.0,1.0,New Property,Unfurnished,3.0,apartment,13.09982885,77.58107977,Yelahanka Satellite Town,18.71,24.83,40.0,0.428
3006,1 BHK Apartment for Sale in Tumkur Road Bangalore,7800000.0,12850.0,1.0,422.0,17.0,Resale,Semi,1.0,apartment,13.158156,77.325762,Bengaluru,35.65,60.58,40.0,0.4142
3007,"3 BHK Apartment for Sale in Chikkajala, Bangalore-Hyderabad Hwy Bangalore",19000000.0,12258.0,3.0,1550.0,1.0,New Property,Unfurnished,3.0,apartment,13.16843602,77.63515109,Huttanahalli,24.71,13.77,40.0,0.4291
3008,3 BHK Apartment for Sale in Yelahanka Bangalore,18600000.0,9500.0,3.0,1967.0,1.0,New Property,Unfurnished,3.0,apartment,13.093828398505485,77.61890370674564,Muneshwara Layout,18.59,21.94,40.0,0.4291
3009,3 BHK Apartment for Sale in Bagaluru Bangalore,21400000.0,11989.0,3.0,1785.0,1.0,New Property,Unfurnished,3.0,apartment,13.13235055,77.66755368,Dasanayakanahalli,25.09,13.19,40.0,0.4294
3010,1 BHK Apartment for Sale in Carmelaram Bangalore,6300000.0,11887.0,1.0,412.0,2.0,Resale,Semi,1.0,apartment,12.900521,77.710237,Carmelaram,20.62,55.94,40.0,0.422
3011,3 BHK Apartment for Sale in Gunjur Bangalore,21500000.0,11063.0,3.0,1950.0,1.0,New Property,Unfurnished,3.0,apartment,12.92050187,77.73493118,Gunjur Village,23.27,43.27,40.0,0.421
3012,3 BHK Apartment for Sale in Sarjapur Road Bangalore,26200000.0,12500.0,3.0,2100.0,1.0,New Property,Unfurnished,3.0,apartment,12.88018135,77.69052385,Gattahalli,22.2,58.3,6.96,0.0709
3013,3 BHK Apartment for Sale in Sarjapur Road Bangalore,15800000.0,9366.0,3.0,1687.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3014,3 BHK Apartment for Sale in Sarjapur Road Bangalore,19400000.0,9493.0,3.0,2049.0,1.0,New Property,Unfurnished,3.0,apartment,12.91235,77.680996,Kaikondrahalli,17.17,52.49,40.0,0.4258
3015,3 BHK Apartment for Sale in Naagarabhaavi Bangalore,13899999.999999998,9976.0,3.0,1401.0,1.0,New Property,Unfurnished,3.0,apartment,12.9131096,77.6191481,KAS Officers Colony,12.36,43.12,1.5,0.1945
3016,3 BHK Apartment for Sale in Sarjapur Road Bangalore,17200000.0,9419.0,3.0,1826.0,1.0,New Property,Unfurnished,3.0,apartment,12.903299590083352,77.73214859325435,Bommasandra,24.1,45.44,40.0,0.4202
